club_name,player_name,age,position,specific_position,club_involved_name,fee,type_operation,fee_cleaned,year,season
Al-Hilal SFC,Khaled Aziz,18,Midfield,Defensive Midfield,Unknown,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Sami Al-Jaber,27,Forward,Centre-Forward,Wolves,loan transfer,loan,0.0,2000,2000/2001
Al-Hilal SFC,Fahad Al-Ghesheyan,26,Forward,Right Winger,Al-Nasr SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Saleh Al-Salloumi,37,Goalkeeper,Goalkeeper,Retired,retired,retired,0.0,2000,2000/2001
Al-Hilal SFC,Elijah Litana,29,Defence,Centre-Back,Retired,retired,retired,0.0,2000,2000/2001
Ittihad Club,Marzouq Al-Otaibi,24,Forward,Centre-Forward,Al-Shabab SC,€2.00m,transfer,2000000.0,2000,2000/2001
Ittihad Club,Khalid Massad,28,Midfield,Attacking Midfield,Al-Ahli SC,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Ivan Malimon,21,Forward,Centre-Forward,Edessaikos,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Manaf Abushgeer,20,Midfield,Left Midfield,Ittihad Club,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Darci,31,Forward,Left Winger,Antalyaspor,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Macros Pereira,26,Forward,Attack,Seongnam Ilhwa,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Roberto Donadoni,36,Midfield,Right Midfield,Retired,retired,retired,0.0,2000,2000/2001
Al-Nassr FC,Saad Al-Shehri,20,Midfield,Midfield,Al-Ettifaq,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Fahad Al-Ghesheyan,26,Forward,Right Winger,Al-Hilal FC,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Ahmed Bahja,29,Forward,Centre-Forward,Al-Ahli SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Fahad Al Bishi,34,Midfield,Midfield,Retired,retired,retired,0.0,2000,2000/2001
Al-Nassr FC,Milson,22,Forward,Centre-Forward,Botafogo,"end of loanjun 30, 2000",loan,0.0,2000,2000/2001
Al-Shabab FC,Mustapha Bidoudane,24,Forward,Centre-Forward,FUS Rabat,transfer,transfer,1300000.0,2000,2000/2001
Al-Shabab FC,Redha Tukar,24,Defence,Centre-Back,Ohod Club,transfer,transfer,1300000.0,2000,2000/2001
Al-Shabab FC,Marzouq Al-Otaibi,24,Forward,Centre-Forward,Ittihad Club,€2.00m,transfer,2000000.0,2000,2000/2001
Al-Ahli SFC,Mohammed Husain Bahzad,20,Defence,Centre-Back,Al-Najma,transfer,transfer,1300000.0,2000,2000/2001
Al-Ahli SFC,Naif Al-Qadi,21,Defence,Centre-Back,Unknown,transfer,transfer,1300000.0,2000,2000/2001
Al-Ahli SFC,Waleed Al-Gizani,19,Forward,Centre-Forward,Al-Ahli SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Ahli SFC,Khalid Massad,28,Midfield,Attacking Midfield,Ittihad Club,free transfer,free,0.0,2000,2000/2001
Al-Ettifaq FC,Saad Al-Shehri,20,Midfield,Midfield,Al-Nasr SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Qadsiah FC,Saud Kariri,19,Midfield,Defensive Midfield,Unknown,transfer,transfer,1300000.0,2000,2000/2001
Al-Qadsiah FC,Yasser Al-Qahtani,17,Forward,Centre-Forward,Al-Qadsiah FC,transfer,transfer,1300000.0,2000,2000/2001
Al-Riyadh SC,Moussa N'Daw,31,Forward,Centre-Forward,Retired,retired,retired,0.0,2000,2000/2001
Al-Wehda FC,Hassen Ghoula,31,Defence,Centre-Back,CR Béni Thour,transfer,transfer,1300000.0,2000,2000/2001
Al-Wehda FC,Nei Bala,22,Forward,Centre-Forward,Al-Ain FC,transfer,transfer,1300000.0,2000,2000/2001
Al-Wehda FC,Tarek Hadj Adlane,34,Forward,Centre-Forward,USM Alger,free transfer,free,0.0,2000,2000/2001
Al-Wehda FC,Ernest Mtawali,31,Midfield,Defensive Midfield,Orlando Pirates,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Túlio,24,Midfield,Defensive Midfield,Goiás,free transfer,free,0.0,2000,2000/2001
Al-Hilal SFC,Abdullah Sulaiman Zubromawi,27,Defence,Centre-Back,Al-Ahli SC,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Christopher Wreh,25,Forward,Centre-Forward,Arsenal,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Roni,23,Forward,Centre-Forward,Fluminense,loan transfer,loan,0.0,2000,2000/2001
Al-Hilal SFC,Sami Al-Jaber,28,Forward,Centre-Forward,Wolves,"end of loanjan 30, 2001",loan,0.0,2000,2000/2001
Ittihad Club,Mabrouk Zaid,21,Goalkeeper,Goalkeeper,Al-Riyadh SC,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Michele Gelsi,32,Midfield,Central Midfield,Ravenna,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Marcelo Gómez,30,Midfield,Defensive Midfield,Gimnasia,transfer,transfer,1300000.0,2000,2000/2001
Ittihad Club,Dalian Atkinson,32,Forward,Centre-Forward,Daejeon Citizen,loan fee:€19k,loan,19000.0,2000,2000/2001
Ittihad Club,Ivan Malimon,22,Forward,Centre-Forward,Unknown,free transfer,free,0.0,2000,2000/2001
Ittihad Club,Gerson,28,Forward,Centre-Forward,Antalyaspor,transfer,transfer,1300000.0,2000,2000/2001
Al-Nassr FC,Mehdi Ben Slimane,27,Forward,Right Winger,SC Freiburg,loan transfer,loan,0.0,2000,2000/2001
Al-Shabab FC,Baba Adamu,21,Forward,Centre-Forward,Chernomorets N.,€50k,transfer,50000.0,2000,2000/2001
Al-Ahli SFC,Maher Kanzari,27,Midfield,Attacking Midfield,Esperance,transfer,transfer,1300000.0,2000,2000/2001
Al-Ahli SFC,Abdullah Sulaiman Zubromawi,27,Defence,Centre-Back,Al-Hilal FC,transfer,transfer,1300000.0,2000,2000/2001
Al-Ettifaq FC,Faraj Laheeb,22,Forward,Centre-Forward,Kuwait SC,"end of loandec 31, 2000",loan,0.0,2000,2000/2001
Al-Riyadh SC,Mabrouk Zaid,21,Goalkeeper,Goalkeeper,Ittihad Club,free transfer,free,0.0,2000,2000/2001
Al-Wehda FC,Nei Bala,22,Forward,Centre-Forward,Nacional-SP,transfer,transfer,1300000.0,2000,2000/2001
Al-Hilal SFC,Edmilson,33,Forward,Attack,SC Braga,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Khamis Al-Owairan,27,Midfield,Defensive Midfield,Ittihad Club,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Christopher Wreh,26,Forward,Centre-Forward,St. Mirren,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Serginho,27,Forward,Centre-Forward,Ittihad Club,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Khalid Al-Temawi,33,Midfield,Central Midfield,Retired,retired,retired,0.0,2001,2001/2002
Al-Hilal SFC,Roni,24,Forward,Centre-Forward,Fluminense,"end of loanjun 30, 2001",loan,0.0,2001,2001/2002
Ittihad Club,Dario Baccin,24,Defence,Right-Back,Napoli,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Khamis Al-Owairan,27,Midfield,Defensive Midfield,Al-Hilal FC,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Serginho,27,Forward,Centre-Forward,Al-Hilal FC,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Hamad Al Montashari,19,Defence,Centre-Back,Ittihad Club,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Osama Al Harbi,17,Defence,Centre-Back,Ittihad Club,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Dalian Atkinson,33,Forward,Centre-Forward,Daejeon Citizen,"end of loanjun 30, 2001",loan,0.0,2001,2001/2002
Ittihad Club,Akwá,24,Forward,Centre-Forward,Al-Wakrah SC,free transfer,free,0.0,2001,2001/2002
Ittihad Club,Mutiu Adepoju,30,Midfield,Central Midfield,UD Salamanca,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Michele Gelsi,32,Midfield,Central Midfield,AS Livorno,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Marcelo Gómez,30,Midfield,Defensive Midfield,Huracán,transfer,transfer,1300000.0,2001,2001/2002
Ittihad Club,Dalian Atkinson,33,Forward,Centre-Forward,Daejeon Citizen,transfer,transfer,1300000.0,2001,2001/2002
Al-Nassr FC,Julio César Baldivieso,29,Midfield,Attacking Midfield,Cobreloa,transfer,transfer,1300000.0,2001,2001/2002
Al-Nassr FC,Fahad Al-Ghesheyan,27,Forward,Right Winger,Unknown,transfer,transfer,1300000.0,2001,2001/2002
Al-Nassr FC,Fuad Anwar Amin,28,Midfield,Central Midfield,Retired,retired,retired,0.0,2001,2001/2002
Al-Nassr FC,Mehdi Ben Slimane,27,Forward,Right Winger,SC Freiburg,"end of loanjun 30, 2001",loan,0.0,2001,2001/2002
Al-Ahli SFC,Saad Al-Dosari,23,Midfield,Attacking Midfield,Al-Riyadh SC,transfer,transfer,1300000.0,2001,2001/2002
Al-Ahli SFC,Abdullah Al-Waked,26,Midfield,Central Midfield,Al-Shabab SC,loan transfer,loan,0.0,2001,2001/2002
Al-Ahli SFC,Reda Seeka,28,Defence,Centre-Back,Zamalek,loan transfer,loan,0.0,2001,2001/2002
Al-Ahli SFC,Mahamadou Sidibé,22,Goalkeeper,Goalkeeper,Athinaikos,free transfer,free,0.0,2001,2001/2002
Al-Ahli SFC,Ali Dhawi,17,Forward,Second Striker,Najran SC,free transfer,free,0.0,2001,2001/2002
Al-Ahli SFC,Maher Kanzari,28,Midfield,Attacking Midfield,Al-Nasr SC,transfer,transfer,1300000.0,2001,2001/2002
Al-Ahli SFC,Raúl Gordillo,26,Midfield,Central Midfield,América,"end of loanjun 30, 2001",loan,0.0,2001,2001/2002
Al-Shabab FC,Mustapha Bidoudane,25,Forward,Centre-Forward,FUS Rabat,transfer,transfer,1300000.0,2001,2001/2002
Al-Shabab FC,Abdullah Al-Waked,26,Midfield,Central Midfield,Al-Ahli SC,loan transfer,loan,0.0,2001,2001/2002
Al-Shabab FC,Saeed Al-Owairan,33,Forward,Centre-Forward,Retired,retired,retired,0.0,2001,2001/2002
Al-Wehda FC,Hassen Ghoula,32,Defence,Centre-Back,CR Béni Thour,free transfer,free,0.0,2001,2001/2002
Al-Ettifaq FC,Abdulrahman Al-Qahtani,18,Midfield,Left Midfield,Unknown,transfer,transfer,1300000.0,2001,2001/2002
Al-Riyadh SC,Khalid Radhi,20,Goalkeeper,Goalkeeper,Unknown,transfer,transfer,1300000.0,2001,2001/2002
Al-Riyadh SC,Saad Al-Dosari,23,Midfield,Attacking Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Faisal Abuthnain,31,Midfield,Defensive Midfield,Retired,retired,retired,0.0,2001,2001/2002
Al-Nassr FC,Amadou Fadel Keita,24,Forward,Centre-Forward,C. Rizespor,free transfer,free,0.0,2001,2001/2002
Al-Nassr FC,Jorge Delgado,26,Forward,Centre-Forward,CD Numancia,transfer,transfer,1300000.0,2001,2001/2002
Al-Ahli SFC,Reda Seeka,29,Defence,Centre-Back,Zamalek,"end of loandec 31, 2001",loan,0.0,2001,2001/2002
Al-Shabab FC,Mirdzhalol Kasymov,31,Midfield,Attacking Midfield,KS Samara,transfer,transfer,1300000.0,2001,2001/2002
Al-Ettifaq FC,Samir Kamouna,29,Defence,Sweeper,Bursaspor,transfer,transfer,1300000.0,2001,2001/2002
Al-Hilal SFC,Sultan Al-Bargan,19,Midfield,Defensive Midfield,Al-Hilal FC,transfer,transfer,1300000.0,2002,2002/2003
Al-Hilal SFC,Edmilson,34,Forward,Attack,Jeonbuk Hyundai,transfer,transfer,1300000.0,2002,2002/2003
Al-Hilal SFC,Andrey Kanchelskis,34,Midfield,Right Midfield,Without Club,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Hamad Al-Eissa,20,Defence,Centre-Back,Al-Nasr SC,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Bebeto,38,Forward,Centre-Forward,Vasco da Gama,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Bebeto,38,Forward,Centre-Forward,Without Club,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Tijani Babangida,29,Forward,Right Winger,Ajax,"end of loanmay 1, 2003",loan,0.0,2002,2002/2003
Al-Shabab FC,Abdoh Otayf,18,Midfield,Attacking Midfield,Al-Shabab SC,transfer,transfer,1300000.0,2002,2002/2003
Al-Shabab FC,Ahmed Ibrahim Otayf,19,Midfield,Central Midfield,Al-Shabab SC,transfer,transfer,1300000.0,2002,2002/2003
Al-Shabab FC,Abdullah Al-Dosari,19,Midfield,Midfield,Al-Shabab SC,transfer,transfer,1300000.0,2002,2002/2003
Al-Ahli SFC,Mohamed Barakat,25,Forward,Right Winger,Ismaily,free transfer,free,0.0,2002,2002/2003
Al-Ahli SFC,Mamadou Diallo,31,Forward,Centre-Forward,MetroStars,transfer,transfer,1300000.0,2002,2002/2003
Al-Ahli SFC,Khaled Badra,29,Defence,Centre-Back,Esperance,loan transfer,loan,0.0,2002,2002/2003
Al-Ahli SFC,Obeid Al-Dosari,26,Forward,Centre-Forward,Retired,retired,retired,0.0,2002,2002/2003
Al-Qadsiah FC,Ahmed Khalil Al-Khaldi,31,Goalkeeper,Goalkeeper,Al-Qadsiah FC,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Paulo Nunes,30,Forward,Second Striker,SE Gama,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Amadou Fadel Keita,24,Forward,Centre-Forward,Africa Sports,free transfer,free,0.0,2002,2002/2003
Al-Nassr FC,Hamad Al-Eissa,20,Defence,Centre-Back,Ittihad Club,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Jorge Delgado,26,Forward,Centre-Forward,Wanderers,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Fahad Al-Mehallel,31,Forward,Centre-Forward,Unknown,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Ibrahim Al-Shokia,27,Defence,Defence,Al-Faisaly FC,transfer,transfer,1300000.0,2002,2002/2003
Al-Ettifaq FC,Saleh Bashir,20,Forward,Centre-Forward,Own Youth,transfer,transfer,1300000.0,2002,2002/2003
Al-Ettifaq FC,Samir Kamouna,30,Defence,Sweeper,El Ahly,transfer,transfer,1300000.0,2002,2002/2003
Al-Riyadh SC,Schwenck,23,Forward,Centre-Forward,CFZ-DF,free transfer,free,0.0,2002,2002/2003
Al-Hilal SFC,Abdulaziz Al-Khathran,29,Midfield,Defensive Midfield,Al-Shabab SC,€170k,transfer,170000.0,2002,2002/2003
Al-Hilal SFC,Andrey Kanchelskis,34,Midfield,Right Midfield,Southampton,free transfer,free,0.0,2002,2002/2003
Al-Hilal SFC,Leandro Avíla,31,Midfield,Defensive Midfield,Internacional,transfer,transfer,1300000.0,2002,2002/2003
Al-Hilal SFC,Túlio,26,Midfield,Defensive Midfield,Goiás,free transfer,free,0.0,2002,2002/2003
Ittihad Club,Guilherme Alves,28,Forward,Centre-Forward,Corinthians,€1.10m,transfer,1100000.0,2002,2002/2003
Ittihad Club,Titi Camara,30,Forward,Centre-Forward,West Ham,loan transfer,loan,0.0,2002,2002/2003
Ittihad Club,Chikelue Iloenyosi,24,Defence,Defence,C. Rizespor,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Tijani Babangida,29,Forward,Right Winger,Ajax,loan transfer,loan,0.0,2002,2002/2003
Ittihad Club,Dario Baccin,26,Defence,Right-Back,Taranto,transfer,transfer,1300000.0,2002,2002/2003
Al-Shabab FC,Abdulaziz Al-Khathran,29,Midfield,Defensive Midfield,Al-Hilal FC,€170k,transfer,170000.0,2002,2002/2003
Al-Shabab FC,Mirdzhalol Kasymov,32,Midfield,Attacking Midfield,Pakhtakor,transfer,transfer,1300000.0,2002,2002/2003
Al-Ahli SFC,Mamadou Diallo,31,Forward,Centre-Forward,IFK Göteborg,free transfer,free,0.0,2002,2002/2003
Al-Ahli SFC,Mohammed Husain Bahzad,22,Defence,Centre-Back,Kazma SC,transfer,transfer,1300000.0,2002,2002/2003
Al-Qadsiah FC,Alex Pinho,30,Defence,Defence,Sport Recife,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Carlos Tenorio,23,Forward,Centre-Forward,LDU Quito,loan transfer,loan,0.0,2002,2002/2003
Al-Nassr FC,Paulo Nunes,31,Forward,Second Striker,Mogi Mirim,transfer,transfer,1300000.0,2002,2002/2003
Al-Nassr FC,Julio César Baldivieso,31,Midfield,Attacking Midfield,Aurora,transfer,transfer,1300000.0,2002,2002/2003
Al-Riyadh SC,Schwenck,23,Forward,Centre-Forward,América-RJ,free transfer,free,0.0,2002,2002/2003
Al-Riyadh SC,Oumar Traoré,27,Midfield,Midfield,Unknown,transfer,transfer,1300000.0,2002,2002/2003
Ittihad Club,Mesfr Al Kahtani,19,Defence,Defence,Unknown,free transfer,free,0.0,2003,2003/2004
Ittihad Club,Redha Tukar,27,Defence,Centre-Back,Al-Shabab SC,free transfer,free,0.0,2003,2003/2004
Ittihad Club,Salah Iddine Khlifi,24,Midfield,Midfield,Xamax,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Tcheco,27,Midfield,Central Midfield,Coritiba FC,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Abdullah Al-Waked,27,Midfield,Central Midfield,Al-Shabab SC,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Dimba,29,Forward,Centre-Forward,Goiás,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Chikelue Iloenyosi,24,Defence,Defence,Asteras Tripoli,free transfer,free,0.0,2003,2003/2004
Ittihad Club,Guilherme Alves,29,Forward,Centre-Forward,Cruzeiro,free transfer,free,0.0,2003,2003/2004
Ittihad Club,Mohammed Al-Khilaiwi,31,Defence,Centre-Back,Al-Ahli SC,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Titi Camara,30,Forward,Centre-Forward,West Ham,"end of loanjun 30, 2003",loan,0.0,2003,2003/2004
Al-Ettifaq FC,José Soares,27,Defence,Centre-Back,Schweinfurt 05,free transfer,free,0.0,2003,2003/2004
Al-Ettifaq FC,Arílson,30,Midfield,Attacking Midfield,Avaí FC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ettifaq FC,Ali Al-Fuheid,26,Midfield,Midfield,Unknown,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Kim,23,Forward,Centre-Forward,Atlético-MG,€500k,transfer,500000.0,2003,2003/2004
Al-Ahli SFC,Mohammed Al-Khilaiwi,31,Defence,Centre-Back,Ittihad Club,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Bouchaib El Moubarki,25,Forward,Right Winger,Al-Sadd SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Taiseer Al-Jassam,18,Midfield,Central Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Safwan Al-Muwallid,19,Forward,Second Striker,Al-Ahli SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Mohamed Barakat,26,Forward,Right Winger,Al-Arabi SC,free transfer,free,0.0,2003,2003/2004
Al-Ahli SFC,Saad Al-Dosari,25,Midfield,Attacking Midfield,Al-Hilal FC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Bouchaib El Moubarki,25,Forward,Right Winger,Al-Rayyan SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Khaled Badra,30,Defence,Centre-Back,Esperance,"end of loanaug 1, 2003",loan,0.0,2003,2003/2004
Al-Ahli SFC,Abdullah Al-Waked,27,Midfield,Central Midfield,Al-Shabab SC,"end of loanjun 30, 2003",loan,0.0,2003,2003/2004
Al-Nassr FC,Marcelinho Carioca,32,Midfield,Attacking Midfield,Vasco da Gama,€2.00m,transfer,2000000.0,2003,2003/2004
Al-Nassr FC,Nashat Akram,18,Midfield,Attacking Midfield,Al-Shorta SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Nassr FC,Otilino Tenorio,23,Forward,Attack,CS Emelec,transfer,transfer,1300000.0,2003,2003/2004
Al-Nassr FC,Saad Al-Harthi,19,Forward,Centre-Forward,Al-Nasr SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Nassr FC,Carlos Tenorio,24,Forward,Centre-Forward,LDU Quito,"end of loanjun 22, 2003",loan,0.0,2003,2003/2004
Al-Hilal SFC,Jatto Ceesay,28,Forward,Right Winger,Willem II,free transfer,free,0.0,2003,2003/2004
Al-Hilal SFC,Abdullah Al-Shehan,26,Forward,Attack,Al-Shabab SC,free transfer,free,0.0,2003,2003/2004
Al-Hilal SFC,Mauricio Aros,27,Defence,Left-Back,Feyenoord,transfer,transfer,1300000.0,2003,2003/2004
Al-Hilal SFC,Saad Al-Dosari,25,Midfield,Attacking Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Wehda FC,Sulaiman Amedu,20,Defence,Centre-Back,Al-Wehda,transfer,transfer,1300000.0,2003,2003/2004
Al-Wehda FC,Nasser Al-Shamrani,19,Forward,Centre-Forward,Al-Wehda,transfer,transfer,1300000.0,2003,2003/2004
Al-Wehda FC,Essa Al-Mehyani,20,Forward,Centre-Forward,Al-Wehda,transfer,transfer,1300000.0,2003,2003/2004
Al-Qadsiah FC,Ahmed Khalil Al-Khaldi,32,Goalkeeper,Goalkeeper,Al-Sailiya SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Shoalah FC,Yves Kibuey,33,Forward,Centre-Forward,Leiria,transfer,transfer,1300000.0,2003,2003/2004
Khaleej FC,Razzaq Farhan,26,Forward,Attack,Al-Dhaid,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Naji Majrashi,19,Forward,Centre-Forward,Unknown,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Fernandes,26,Midfield,Attacking Midfield,Figueirense FC,loan transfer,loan,0.0,2003,2003/2004
Al-Shabab FC,Abdullatif Al-Ghannam,17,Midfield,Defensive Midfield,Al-Shabab SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Fisal Al-Sultan,24,Forward,Attack,Al-Shabab SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Abdullah Al-Waked,27,Midfield,Central Midfield,Al-Ahli SC,"end of loanjun 30, 2003",loan,0.0,2003,2003/2004
Al-Shabab FC,Redha Tukar,27,Defence,Centre-Back,Ittihad Club,free transfer,free,0.0,2003,2003/2004
Al-Shabab FC,Abdullah Al-Shehan,26,Forward,Attack,Al-Hilal FC,free transfer,free,0.0,2003,2003/2004
Al-Shabab FC,Abdullah Al-Waked,27,Midfield,Central Midfield,Ittihad Club,transfer,transfer,1300000.0,2003,2003/2004
Ittihad Club,Alain Masudi,25,Midfield,Attacking Midfield,Sturm Graz,loan transfer,loan,0.0,2003,2003/2004
Ittihad Club,Saud Kariri,23,Midfield,Defensive Midfield,Al-Qadsiah FC,transfer,transfer,1300000.0,2003,2003/2004
Al-Ettifaq FC,Awule Quaye,23,Midfield,Attacking Midfield,CS Sfaxien,transfer,transfer,1300000.0,2003,2003/2004
Al-Ettifaq FC,Arílson,30,Midfield,Attacking Midfield,Indep. Santa Fe,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Paulinho,21,Forward,Second Striker,Atlético-MG,transfer,transfer,1300000.0,2003,2003/2004
Al-Ahli SFC,Edmílson,29,Forward,Attack,Figueirense FC,transfer,transfer,1300000.0,2003,2003/2004
Al-Nassr FC,Marcelinho Carioca,32,Midfield,Attacking Midfield,Vasco da Gama,free transfer,free,0.0,2003,2003/2004
Al-Nassr FC,Otilino Tenorio,24,Forward,Attack,CD El Nacional,transfer,transfer,1300000.0,2003,2003/2004
Al-Hilal SFC,Seyfo Soley,23,Midfield,Defensive Midfield,KRC Genk,loan transfer,loan,0.0,2003,2003/2004
Al-Hilal SFC,Somália,26,Forward,Centre-Forward,São Caetano,loan transfer,loan,0.0,2003,2003/2004
Al-Hilal SFC,Franck Atsou,25,Defence,Centre-Back,Heusden-Zolder,loan transfer,loan,0.0,2003,2003/2004
Al-Hilal SFC,Mauricio Aros,27,Defence,Left-Back,Huachipato,transfer,transfer,1300000.0,2003,2003/2004
Al-Hilal SFC,Yousuf Al-Thunayan,39,Midfield,Attacking Midfield,Retired,retired,retired,0.0,2003,2003/2004
Al-Qadsiah FC,Jack Jones,26,Forward,Attack,Moto Club,transfer,transfer,1300000.0,2003,2003/2004
Al-Qadsiah FC,Saud Kariri,23,Midfield,Defensive Midfield,Ittihad Club,transfer,transfer,1300000.0,2003,2003/2004
Al-Qadsiah FC,Alex Pinho,31,Defence,Defence,Paysandu,transfer,transfer,1300000.0,2003,2003/2004
Khaleej FC,Rachid Benmahmoud,32,Midfield,Midfield,Al-Arabi SC,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Roberto Holsen,27,Forward,Centre-Forward,César Vallejo,transfer,transfer,1300000.0,2003,2003/2004
Al-Shabab FC,Rasheed Yekini,40,Forward,Centre-Forward,Julius Berger,transfer,transfer,1300000.0,2003,2003/2004
Al-Hilal SFC,Marcelo Tavares,24,Defence,Centre-Back,Cruzeiro,free transfer,free,0.0,2004,2004/2005
Al-Hilal SFC,Camacho,24,Midfield,Attacking Midfield,Botafogo,free transfer,free,0.0,2004,2004/2005
Al-Hilal SFC,Paulo Silva,29,Forward,Attack,Petro Luanda,transfer,transfer,1300000.0,2004,2004/2005
Al-Hilal SFC,Abdallah Medwah,25,Defence,Left-Back,Abha Club,transfer,transfer,1300000.0,2004,2004/2005
Al-Hilal SFC,Ahmed Al-Suwailh,18,Forward,Centre-Forward,Al-Hilal FC,transfer,transfer,1300000.0,2004,2004/2005
Al-Hilal SFC,Saad Al-Theyab,18,Defence,Left-Back,Al-Hilal FC,transfer,transfer,1300000.0,2004,2004/2005
Al-Hilal SFC,Franck Atsou,25,Defence,Centre-Back,Heusden-Zolder,"end of loanjun 30, 2004",loan,0.0,2004,2004/2005
Al-Hilal SFC,Faisal Al-Saleh,26,Midfield,Right Midfield,Unknown,transfer,transfer,1300000.0,2004,2004/2005
Al-Hilal SFC,Abdullah Al-Sharida,35,Defence,Centre-Back,Retired,retired,retired,0.0,2004,2004/2005
Al-Hilal SFC,Somália,27,Forward,Centre-Forward,São Caetano,"end of loanjun 30, 2004",loan,0.0,2004,2004/2005
Al-Hilal SFC,Seyfo Soley,24,Midfield,Defensive Midfield,KRC Genk,"end of loanjun 30, 2004",loan,0.0,2004,2004/2005
Ittihad Club,Mario Carevic,22,Midfield,Left Midfield,Hajduk Split,€400k,transfer,400000.0,2004,2004/2005
Ittihad Club,Dejan Petkovic,31,Midfield,Attacking Midfield,Vasco da Gama,free transfer,free,0.0,2004,2004/2005
Ittihad Club,Sergio Herrera,23,Forward,Centre-Forward,CD América,free transfer,free,0.0,2004,2004/2005
Ittihad Club,Khaled Omar Gahwji,28,Midfield,Attacking Midfield,Al-Ahli SC,free transfer,free,0.0,2004,2004/2005
Ittihad Club,Obina,21,Forward,Centre-Forward,EC Vitória,transfer,transfer,1300000.0,2004,2004/2005
Ittihad Club,Mishal Al-Saeed,20,Defence,Left-Back,Hajer,transfer,transfer,1300000.0,2004,2004/2005
Ittihad Club,Ibrahim Suwayed,29,Midfield,Right Midfield,Al-Ahli SC,transfer,transfer,1300000.0,2004,2004/2005
